dimensions           rotationstime spent
2                   2           4.709e-06
3                   2            3.41e-06
4                   3           4.772e-06
5                   3           6.845e-06
6                   4          1.0255e-05
7                   4          1.2079e-05
8                   5          1.7662e-05
9                   5          2.0299e-05
10                   6          2.8018e-05
11                   6          3.1291e-05
12                   7          4.3945e-05
13                   7           5.084e-05
14                   8          6.0458e-05
15                   8          9.5647e-05
16                   9          8.1256e-05
17                   9          8.8152e-05
18                  10         0.000105877
19                  10         0.000113947
20                  11         0.000134719
21                  11         0.000144263
22                  12         0.000168147
23                  12         0.000180175
24                  13         0.000207194
25                  13         0.000220148
26                  14         0.000251701
27                  14         0.000266566
28                  15         0.000301929
29                  15         0.000318842
30                  16         0.000358565
31                  16         0.000377265
32                  17         0.000425831
33                  17         0.000454674
34                  18         0.000541414
35                  18         0.000516156
36                  19         0.000569394
37                  19         0.000595002
38                  20          0.00065626
39                  20         0.000683128
40                  21         0.000782097
41                  21          0.00077935
42                  22         0.000852574
43                  22         0.000886688
44                  23         0.000976826
45                  23          0.00100038
46                  24          0.00108631
47                  24          0.00146904
48                  25          0.00122971
49                  25          0.00125844
50                  26          0.00135414
51                  26          0.00141941
52                  27          0.00150541
53                  27          0.00156733
54                  28          0.00165751
55                  28          0.00172484
56                  29          0.00185612
57                  29          0.00215424
58                  30          0.00203839
59                  30          0.00208068
60                  31          0.00225063
61                  31          0.00229166
62                  32          0.00240791
63                  32          0.00249209
64                  33          0.00289209
65                  33          0.00269712
66                  34          0.00287458
67                  34          0.00295123
68                  35          0.00309173
69                  35             0.00319
70                  36          0.00360851
71                  36          0.00345031
72                  37          0.00363003
73                  37          0.00371596
74                  38          0.00414735
75                  38          0.00400693
76                  39          0.00420662
77                  39          0.00430841
78                  40          0.00473165
79                  40          0.00462482
80                  41          0.00485577
81                  41          0.00495268
82                  42          0.00518639
83                  42          0.00530104
84                  43          0.00555866
85                  43          0.00566158
86                  44           0.0059273
87                  44           0.0060483
88                  45          0.00632708
89                  45          0.00644589
90                  46           0.0067177
91                  46          0.00686234
92                  47          0.00715085
93                  47          0.00728269
94                  48          0.00758452
95                  48          0.00773901
96                  49          0.00805056
97                  49          0.00820485
98                  50          0.00853821
99                  50          0.00868472
100                   0                   0
