omega alpha E variance Ratio 
0.010000 0.800000 0.030753 0.000015 0.588838 
0.010000 0.850000 0.030385 0.000008 0.578090 
0.010000 0.900000 0.030164 0.000003 0.567253 
0.010000 0.950000 0.030045 0.000001 0.556991 
0.010000 1.000000 0.030000 0.000000 0.546991 
0.010000 1.050000 0.030034 0.000001 0.537971 
0.010000 1.100000 0.030135 0.000003 0.529008 
0.010000 1.150000 0.030311 0.000006 0.519336 
0.500000 0.800000 1.537374 0.038011 0.587274 
0.500000 0.850000 1.520063 0.019954 0.576221 
0.500000 0.900000 1.508177 0.008343 0.564353 
0.500000 0.950000 1.502203 0.001985 0.554608 
0.500000 1.000000 1.500000 0.000000 0.544440 
0.500000 1.050000 1.501878 0.001783 0.535296 
0.500000 1.100000 1.507281 0.006748 0.525930 
0.500000 1.150000 1.514100 0.014850 0.516651 
1.000000 0.800000 3.073782 0.152031 0.589183 
1.000000 0.850000 3.040103 0.079935 0.577924 
1.000000 0.900000 3.016191 0.033431 0.567083 
1.000000 0.950000 3.003977 0.007932 0.557223 
1.000000 1.000000 3.000000 0.000000 0.547000 
1.000000 1.050000 3.003498 0.007174 0.537489 
1.000000 1.100000 3.013150 0.027413 0.528288 
1.000000 1.150000 3.028778 0.058475 0.519254 
