$\alpha$ $\langle{}E\rangle{}$ $\sigma^2$ $|r_{12}|$ acceptance
0.200000 7.849464 17.328172 0.000000 0.775594
0.250000 6.412324 10.681968 0.000000 0.750152
0.300000 5.462330 6.944462 0.000000 0.727022
0.350000 4.822140 4.744752 0.000000 0.706777
0.400000 4.348893 3.315065 0.000000 0.689037
0.450000 4.018158 2.363592 0.000000 0.671102
0.500000 3.749728 1.691561 0.000000 0.653397
0.550000 3.560387 1.219008 0.000000 0.638599
0.600000 3.401314 0.859852 0.000000 0.624678
0.650000 3.281155 0.595865 0.000000 0.610729
0.700000 3.193205 0.397624 0.000000 0.597630
0.750000 3.126183 0.254321 0.000000 0.584866
0.800000 3.076431 0.152626 0.000000 0.572580
0.850000 3.039789 0.079988 0.000000 0.561782
0.900000 3.016051 0.033230 0.000000 0.550700
0.950000 3.003902 0.007931 0.000000 0.539763
1.000000 3.000046 -0.000000 0.000000 0.530018
1.050000 3.003519 0.007204 0.000000 0.520557
1.100000 3.013039 0.027684 0.000000 0.510714
1.150000 3.030926 0.058509 0.000000 0.501446
1.200000 3.050714 0.100868 0.000000 0.492590
1.250000 3.074236 0.152273 0.000000 0.484166
1.300000 3.106545 0.210359 0.000000 0.476164
1.350000 3.136691 0.277892 0.000000 0.468264
1.400000 3.172099 0.352248 0.000000 0.459288
1.450000 3.209432 0.431843 0.000000 0.452697
1.500000 3.250774 0.522057 0.000000 0.445761
1.550000 3.294397 0.613479 0.000000 0.438543
1.600000 3.330778 0.724124 0.000000 0.431744
1.650000 3.385312 0.820507 0.000000 0.424166
1.700000 3.434139 0.928036 0.000000 0.418447
1.750000 3.477164 1.045971 0.000000 0.412006
1.800000 3.533436 1.162956 0.000000 0.405954
1.850000 3.588866 1.280623 0.000000 0.399328
1.900000 3.635730 1.424619 0.000000 0.393942
1.950000 3.696147 1.540837 0.000000 0.387981
2.000000 3.750091 1.678444 0.000000 0.382234
2.050000 3.805443 1.831565 0.000000 0.377221
2.100000 3.855748 1.990692 0.000000 0.372096
2.150000 3.921679 2.110973 0.000000 0.366507
2.200000 3.978424 2.297817 0.000000 0.360922
